Species,Weight,Length1,Length2,Length3,Height,Width
Bream,621.0342592219048,33.30624040942857,36.63864104609524,41.38783637542858,18.699551565333334,6.175619729380952
Parkki,157.12743341757576,22.06738578969697,24.161097287272728,25.84638482575757,12.465449455757577,3.7362299278181816
Perch,385.46430275408926,29.162473944464285,31.02431333073214,32.855415934583334,10.897861955101192,5.481619291833333
Pike,721.8599363941177,46.044272756274516,48.2427029217647,52.27947727215686,11.566544788156863,5.719653449647059
Roach,155.49539431498334,23.992542443666665,25.703156048,28.1268103285,10.112787854033334,4.33815219825
Smelt,14.434189229976191,14.423119180952378,15.041544259047619,15.985054362619048,6.0296882063809525,1.9403476919761904
Whitefish,534.3553460944445,32.79304982055556,34.970353118333335,36.995182264444445,13.099231734999998,6.1952999112222225
